name,year,total
Biomass,2010,358853
Geothermal,2010,201587
Solar Thermal,2010,1787
Hydro,2010,35890
Wind,2010,261206
Biofuels,2010,3160
Biomass,2011,365266
Geothermal,2011,232906
Solar Thermal,2011,2169
Hydro,2011,51506
Wind,2011,344376
Biofuels,2011,59254
Biomass,2012,341790
Geothermal,2012,266234
Solar Thermal,2012,9643
Hydro,2012,65066
Wind,2012,388256
Biofuels,2012,22607
Biomass,2013,415691
Geothermal,2013,281417
Solar Thermal,2013,33924
Hydro,2013,40115
Wind,2013,503548
Biofuels,2013,28788
Biomass,2014,433164
Geothermal,2014,255027
Solar Thermal,2014,44255
Hydro,2014,51555
Wind,2014,577868
Biofuels,2014,37083
Biomass,2015,416716
Geothermal,2015,230495
Solar Thermal,2015,51212
Hydro,2015,73098
Wind,2015,612782
Biofuels,2015,53412
Biomass,2016,423118
Geothermal,2016,260116
Solar Thermal,2016,66872
Hydro,2016,55706
Wind,2016,656678
Biofuels,2016,38475